Date,Type,Title,Description
2014-06-05,A,Analyst opinion change,Upgrade by FBR Capital from Mkt Perform to Outperform
2014-05-13,D,Dividend,Amount: 0.28
2014-02-18,D,Dividend,Amount: 0.28
2014-01-23,A,Analyst opinion change,Upgrade from Deutsche Bank from Hold to Buy
2014-01-10,A,Analyst opinion change,Upgrade from Barclays from Equal weight to Overweight
2013-11-19,D,Dividend,Amount: 0.28
2013-08-13,D,Dividend,Amount: 0.28
2013-08-13,A,Analyst opinion change,Downgrade from Stifel from Buy to Hold
2013-05-14,D,Dividend,Amount: 0.23
2013-04-30,A,Analyst opinion change,Downgrade from Standpoint Research from Buy to Hold
2013-02-19,D,Dividend,Amount: 0.23
2013-01-04,A,Analyst opinion change,Downgrade from Argus from Buy to Hold
2012-12-14,A,Analyst opinion change,Initiated by BMO Capital Markets
2012-12-12,A,Analyst opinion change,Upgrade from Standpoint Research from Hold to Buy
2012-11-13,D,Dividend,Amount: 0.23
2012-08-20,A,Analyst opinion change,Initiated by Longbow
2012-08-14,D,Dividend,Amount: 0.20
2012-07-20,A,Analyst opinion change,Initiated by Griffin Securities
2012-05-15,D,Dividend,Amount: 0.20
2012-04-20,A,Analyst opinion change,Initiated by MKM Partners
2012-03-16,A,Analyst opinion change,Upgrade from Argus from Hold to Buy
2012-02-14,D,Dividend,Amount: 0.20
2011-12-06,A,Analyst opinion change,Initiated by Barclays Capital
2011-11-15,D,Dividend,Amount: 0.20
2011-09-09,A,Analyst opinion change,Downgrade from Standpoint Research from Buy to Hold
2011-08-16,D,Dividend,Amount: 0.16
2011-05-17,D,Dividend,Amount: 0.16
2011-02-17,A,Analyst opinion change,Initiated by Collins Stewart
2011-02-15,D,Dividend,Amount: 0.16
2011-01-07,A,Analyst opinion change,Downgrade from Standpoint Research from Buy to Hold
2010-11-16,D,Dividend,Amount: 0.16
2010-10-25,A,Analyst opinion change,Downgrade by FBR Capital from Outperform to Mkt Perform
2010-09-13,A,Analyst opinion change,Initiated by Standpoint Research
2010-08-17,D,Dividend,Amount: 0.13
2010-07-23,A,Analyst opinion change,Upgrade from Benchmark Company from Sell to Hold
2010-05-27,A,Analyst opinion change,Upgrade by FBR Capital from Mkt Perform to Outperform
2010-05-18,D,Dividend,Amount: 0.13
2010-04-16,A,Analyst opinion change,Initiated by Janney Mntgmy Scott
2010-04-08,A,Analyst opinion change,Initiated by Soleil
2010-02-17,A,Analyst opinion change,Initiated Citigroup
2010-02-16,D,Dividend,Amount: 0.13
2009-11-17,D,Dividend,Amount: 0.13
2009-11-13,A,Analyst opinion change,Initiated UBS
2009-10-27,A,Analyst opinion change,Upgrade from Argus from Sell to Hold
2009-09-14,A,Analyst opinion change,Upgrade from Auriga U.S.A from Hold to Buy
2009-08-18,D,Dividend,Amount: 0.13
2009-08-18,A,Analyst opinion change,Upgrade from AmTech Research from Neutral to Buy
2009-07-24,A,Analyst opinion change,Downgrade by FBR Capital from Outperform to Mkt Perform
2009-05-19,D,Dividend,Amount: 0.13
2009-04-13,A,Analyst opinion change,Initiated AmTech Research
2009-04-07,A,Analyst opinion change,Upgrade from RBC Capital Mkts from Sector Perform to Outperform
2009-03-31,A,Analyst opinion change,Upgrade from Davenport from Neutral to Buy
2009-03-27,A,Analyst opinion change,Initiated Auriga U.S.A
2009-02-17,D,Dividend,Amount: 0.13
2009-01-23,A,Analyst opinion change,Downgrade from Davenport from Buy to Neutral
